release_time,t,x,y,z,u,v,w,density,radius
2015-09-07 01:00:00,0,0,0,50,1.01859,0,0,1000,0.25
2015-09-07 01:00:00,5,1.7568,-0.457057,49.4591,0.115242,-0.12376,-0.162379,1017.92,1.03939
2015-09-07 01:00:00,10,1.86218,-1.14036,48.6042,-0.0433575,-0.145488,-0.170071,1021.13,1.54347
2015-09-07 01:00:00,15,1.4946,-1.88846,47.7801,-0.0961677,-0.152723,-0.159636,1022.2,1.9163
2015-09-07 01:00:00,20,0.945626,-2.66141,47.0045,-0.120859,-0.156106,-0.150974,1022.7,2.23974
2015-09-07 01:00:00,25,0.303403,-3.44714,46.2677,-0.134853,-0.158023,-0.143867,1022.99,2.53584
2015-09-07 01:00:00,30,-0.394992,-4.24056,45.5637,-0.143911,-0.159264,-0.137869,1023.17,2.81355
